告白,8.8,676726人评价,没有一人完全善，也没有一人完全恶。
茶馆,9.6,150502人评价,
哪吒闹海,9.2,262839人评价,想你时你在闹海。
大鱼,8.8,572782人评价,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
九品芝麻官,8.7,688806人评价,
喜宴,9.0,367438人评价,中国家庭的喜怒哀乐忍。
模仿游戏,8.8,653742人评价,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
头号玩家,8.7,1380271人评价,写给影迷，动漫迷和游戏迷的一封情书。
射雕英雄传之东成西就,8.7,643396人评价,百看不厌。 
色，戒,8.7,819530人评价,假戏真情，爱欲深海
花样年华,8.7,615161人评价,偷情本没有这样美。
我是山姆,9.0,341060人评价,爱并不需要智商 。
阳光姐妹淘,8.8,593922人评价,再多各自牛逼的时光，也比不上一起傻逼的岁月。 
头脑特工队,8.8,622095人评价,愿我们都不用长大，每一座城堡都能永远存在。
血战钢锯岭,8.7,788932人评价,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
七武士,9.3,200452人评价,时代悲歌。
恐怖直播,8.7,657843人评价,恐怖分子的“秋菊打官司”。
惊魂记,9.0,299397人评价,故事的反转与反转，分裂电影的始祖。
黑客帝国3：矩阵革命,8.8,450953人评价,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
你的名字。,8.5,1421908人评价,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
电锯惊魂,8.8,538802人评价,真相就在眼前。
三块广告牌,8.7,827202人评价,怼天怼地，你走后，她与世界为敌。
达拉斯买家俱乐部,8.8,456599人评价,Jared Leto的腿比女人还美！
疯狂原始人,8.7,845941人评价,老少皆宜，这就是好莱坞动画的魅力。
心迷宫,8.7,527329人评价,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
谍影重重3,8.8,422420人评价,像吃了苏打饼一样干脆的电影。
英雄本色,8.6,546619人评价,英雄泪短，兄弟情长。 
上帝之城,9.0,303598人评价,被上帝抛弃了的上帝之城。
风之谷,8.9,357273人评价,动画片的圣经。
纵横四海,8.8,429722人评价,香港浪漫主义警匪动作片的巅峰之作。
卢旺达饭店,8.9,332975人评价,当这个世界闭上双眼，他却敞开了怀抱。
爱在午夜降临前,8.9,407790人评价,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
海街日记,8.8,453494人评价,是枝裕和的家庭习作。
绿里奇迹,8.9,333430人评价,天使暂时离开。
记忆碎片,8.7,609400人评价,一个针管引发的血案。
小丑,8.7,1015762人评价,
疯狂的石头,8.6,830268人评价,中国版《两杆大烟枪》。
岁月神偷,8.7,577411人评价,岁月流逝，来日可追。
背靠背，脸对脸,9.5,136709人评价,
雨中曲,9.1,228855人评价,骨灰级歌舞片。
忠犬八公物语,9.2,197769人评价,养狗三日，便会对你终其一生。
2001太空漫游,8.9,334473人评价,现代科幻电影的开山之作，最伟大导演的最伟大影片。
荒蛮故事,8.8,447812人评价,始于荒诞，止于更荒诞。
心灵奇旅,8.7,993016人评价,
无间道2,8.7,484915人评价,
小偷家族,8.7,818046人评价,我们组成了家。
无敌破坏王,8.7,545415人评价,迪士尼和皮克斯拿错剧本的产物。
爆裂鼓手,8.7,593872人评价,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
冰川时代,8.6,620899人评价,松鼠才是角儿。
恐怖游轮,8.5,873178人评价,不要企图在重复中寻找已经失去的爱。
贫民窟的百万富翁,8.6,750298人评价,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
东邪西毒,8.6,581087人评价,电影诗。
牯岭街少年杀人事件,8.9,304728人评价,弱者送给弱者的一刀。
魔女宅急便,8.7,464296人评价,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
遗愿清单,8.7,466712人评价,用剩余不多的时间，去燃烧整个生命。
东京教父,9.0,234000人评价,
大佛普拉斯,8.7,464834人评价,人们可以登上月球，却永远无法探索人们内心的宇宙。
你看起来好像很好吃,8.9,335984人评价,感情不分食草或者食肉。
真爱至上,8.6,735846人评价,爱，是个动词。
黑天鹅,8.6,784959人评价,黑暗之美。
可可西里,8.9,306238人评价,坚硬的信仰。
城市之光,9.3,148562人评价,永远的小人物，伟大的卓别林。
源代码,8.5,841739人评价,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
海边的曼彻斯特,8.6,548938人评价,我们都有权利不与自己的过去和解。
雨人,8.7,407140人评价,生活在自己的世界里，也可以让周围的人显得可笑和渺小。
波西米亚狂想曲,8.6,611484人评价,
初恋这件小事,8.5,985529人评价,黑小鸭速效美白记。
恋恋笔记本,8.5,677190人评价,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 
人工智能,8.7,451053人评价,对爱的执着，可以超越一切。
青蛇,8.6,531700人评价,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。
虎口脱险,8.9,259956人评价,永远看不腻的喜剧。
终结者2：审判日,8.8,344800人评价,少见的超越首部的续集，动作片中的经典。
疯狂的麦克斯4：狂暴之路,8.7,535580人评价,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~
末路狂花,8.9,261910人评价,没有了退路，只好飞向自由。
罗生门,8.8,317816人评价,人生的N种可能性。
新龙门客栈,8.7,448792人评价,嬉笑怒骂，调风动月。
萤火虫之墓,8.7,407214人评价,幸福是生生不息，却难以触及的远。 
千钧一发,8.8,302628人评价,一部能引人思考的科幻励志片。
无耻混蛋,8.7,483113人评价,昆汀同学越来越变态了，比北野武还杜琪峰。
崖上的波妞,8.6,503418人评价,
花束般的恋爱,8.6,634896人评价,
彗星来的那一夜,8.6,587379人评价,小成本大魅力。
奇迹男孩,8.6,554860人评价,世界不完美，爱会有奇迹。
芙蓉镇,9.3,142295人评价,
爱乐之城,8.4,908490人评价,
二十二,8.7,293429人评价,有一些东西不应该被遗忘。
黑客帝国2：重装上阵,8.7,409964人评价,一个精彩的世界观正在缓缓建立。
血钻,8.7,383452人评价,每个美丽事物背后都是滴血的现实。
哈利·波特与死亡圣器(上),8.5,583828人评价,最忠于原著的一部。
战争之王,8.7,372281人评价,做一颗让别人需要你的棋子。
步履不停,8.8,282126人评价,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
房间,8.8,370282人评价,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
火星救援,8.5,736675人评价,
魂断蓝桥,8.8,281177人评价,中国式内在的美国电影。
千年女优,8.8,271167人评价,爱情是一场没有尽头的虚幻追逐。
谍影重重2,8.7,356230人评价,谁说王家卫镜头很晃？
白日梦想家,8.6,489584人评价,
哈利·波特与凤凰社,8.5,577817人评价,
弱点,8.7,312712人评价,拍掉身上的悲伤，从今天开始重新踏上追梦之旅。
阿飞正传,8.5,515342人评价,王家卫是一种风格，张国荣是一个代表。
谍影重重,8.6,431416人评价,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。
蜘蛛侠：平行宇宙,8.6,672754人评价,
朗读者,8.6,456407人评价,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 
燃情岁月,8.7,289206人评价,传奇，不是每个人都可以拥有。
再次出发之纽约遇见你,8.6,430621人评价,爱我就给我看你的播放列表。
香水,8.5,547831人评价,一个单凭体香达到高潮的男人。
发条橙,8.6,368747人评价,我完全康复了。
